,time,energy_price,fcas_raise_price,fcas_lower_price
0,2024-01-01 04:15,39.4548,0,0
5,2024-01-01 04:20,38.44,0,0
10,2024-01-01 04:25,45.0685,0,0
15,2024-01-01 04:30,45.33443,0,0
20,2024-01-01 04:35,38.77519,0,0
25,2024-01-01 04:40,38.14885,0,0
30,2024-01-01 04:45,36.06,0,0
35,2024-01-01 04:50,36.06,0,0
40,2024-01-01 04:55,36.06,0,0
45,2024-01-01 05:00,36.06,0,0
50,2024-01-01 05:05,39.06373,0,0
55,2024-01-01 05:10,39.44664,0,0
60,2024-01-01 05:15,35.87967,0,0
65,2024-01-01 05:20,35.88,0,0
70,2024-01-01 05:25,35.88,0,0
75,2024-01-01 05:30,35.88,0,0
80,2024-01-01 05:35,35.88,0,0
85,2024-01-01 05:40,35.88,0,0
90,2024-01-01 05:45,32.07128,0,0
95,2024-01-01 05:50,20.90424,0,0
100,2024-01-01 05:55,9.86545,0,0
105,2024-01-01 06:00,9.6089,0,0
110,2024-01-01 06:05,9.68642,0,0
115,2024-01-01 06:10,9.67889,0,0
120,2024-01-01 06:15,9.6447,0,0
125,2024-01-01 06:20,0,0,0
130,2024-01-01 06:25,-21.06713,0,0
135,2024-01-01 06:30,-21.28882,0,0
140,2024-01-01 06:35,-8.84632,0,0
145,2024-01-01 06:40,0,0,0
150,2024-01-01 06:45,9.70771,0,0
155,2024-01-01 06:50,17.18331,0,0
160,2024-01-01 06:55,32.11475,0,0
165,2024-01-01 07:00,54.95005,0,0
170,2024-01-01 07:05,54.95005,0,0
175,2024-01-01 07:10,47.32074,0,0
180,2024-01-01 07:15,48.24521,0,0
185,2024-01-01 07:20,18.35559,0,0
190,2024-01-01 07:25,33.4656,0,0
195,2024-01-01 07:30,18.12606,0,0
200,2024-01-01 07:35,34.12103,0,0
205,2024-01-01 07:40,-1.94578,0,0
210,2024-01-01 07:45,-9.97668,0,0
215,2024-01-01 07:50,0,0,0
220,2024-01-01 07:55,0,0,0
225,2024-01-01 08:00,0,0,0
230,2024-01-01 08:05,0,0,0
235,2024-01-01 08:10,57.95,0,0
240,2024-01-01 08:15,52.633,0,0
245,2024-01-01 08:20,36.06,0,0
250,2024-01-01 08:25,36.06,0,0
255,2024-01-01 08:30,36.06,0,0
260,2024-01-01 08:35,48.153,0,0
265,2024-01-01 08:40,36.06,0,0
270,2024-01-01 08:45,36.06,0,0
275,2024-01-01 08:50,0,0,0
280,2024-01-01 08:55,35.88,0,0
285,2024-01-01 09:00,36.06,0,0
290,2024-01-01 09:05,37.89025,0,0
295,2024-01-01 09:10,137.69,0,0
300,2024-01-01 09:15,51.93767,0,0
305,2024-01-01 09:20,52.59624,0,0
310,2024-01-01 09:25,36.6727,0,0
315,2024-01-01 09:30,36.19848,0,0
320,2024-01-01 09:35,54.95014,0,0
325,2024-01-01 09:40,54.95014,0,0
330,2024-01-01 09:45,37.52,0,0
335,2024-01-01 09:50,41.64078,0,0
340,2024-01-01 09:55,36.89455,0,0
345,2024-01-01 10:00,36.86679,0,0
350,2024-01-01 10:05,36.43804,0,0
355,2024-01-01 10:10,54.95014,0,0
360,2024-01-01 10:15,37.58893,0,0
365,2024-01-01 10:20,37.06576,0,0
370,2024-01-01 10:25,37.33021,0,0
375,2024-01-01 10:30,36.06,0,0
380,2024-01-01 10:35,62.49,0,0
385,2024-01-01 10:40,57.95,0,0
390,2024-01-01 10:45,54.95014,0,0
395,2024-01-01 10:50,53.28161,0,0
400,2024-01-01 10:55,36.06,0,0
405,2024-01-01 11:00,54.95014,0,0
410,2024-01-01 11:05,53.74521,0,0
415,2024-01-01 11:10,54.95014,0,0
420,2024-01-01 11:15,54.95014,0,0
425,2024-01-01 11:20,54.95014,0,0
430,2024-01-01 11:25,52.68095,0,0
435,2024-01-01 11:30,54.95014,0,0
440,2024-01-01 11:35,35.88,0,0
445,2024-01-01 11:40,42.1665,0,0
450,2024-01-01 11:45,54.95014,0,0
455,2024-01-01 11:50,54.68835,0,0
460,2024-01-01 11:55,42.46044,0,0
465,2024-01-01 12:00,54.95014,0,0
470,2024-01-01 12:05,54.08964,0,0
475,2024-01-01 12:10,35.88,0,0
480,2024-01-01 12:15,36.06,0,0
485,2024-01-01 12:20,0,0,0
490,2024-01-01 12:25,0,0,0
495,2024-01-01 12:30,20.59238,0,0
500,2024-01-01 12:35,26.31291,0,0
505,2024-01-01 12:40,10,0,0
510,2024-01-01 12:45,21.83051,0,0
515,2024-01-01 12:50,10.00018,0,0
520,2024-01-01 12:55,26.6852,0,0
525,2024-01-01 13:00,39.02585,0,0
530,2024-01-01 13:05,26.4931,0,0
535,2024-01-01 13:10,39.47507,0,0
540,2024-01-01 13:15,36.06,0,0
545,2024-01-01 13:20,36.06,0,0
550,2024-01-01 13:25,43.70901,0,0
555,2024-01-01 13:30,38.18661,0,0
560,2024-01-01 13:35,26.1224,0,0
565,2024-01-01 13:40,35.24545,0,0
570,2024-01-01 13:45,35.88,0,0
575,2024-01-01 13:50,10,0,0
580,2024-01-01 13:55,18.89,0,0
585,2024-01-01 14:00,36.06,0,0
590,2024-01-01 14:05,56.60865,0,0
595,2024-01-01 14:10,36.34746,0,0
600,2024-01-01 14:15,36.06,0,0
