,time,spot_price
0,2023-02-01 00:05:00,120.06018
5,2023-02-01 00:10:00,127.05018
10,2023-02-01 00:15:00,125.0382
15,2023-02-01 00:20:00,128.00011
20,2023-02-01 00:25:00,120.06007
25,2023-02-01 00:30:00,102.75941
30,2023-02-01 00:35:00,118.0
35,2023-02-01 00:40:00,128.00011
40,2023-02-01 00:45:00,119.99993
45,2023-02-01 00:50:00,125.53533
50,2023-02-01 00:55:00,120.00007
55,2023-02-01 01:00:00,120.0
60,2023-02-01 01:05:00,117.27008
65,2023-02-01 01:10:00,118.98992
70,2023-02-01 01:15:00,118.99
75,2023-02-01 01:20:00,118.99
80,2023-02-01 01:25:00,109.04009
85,2023-02-01 01:30:00,105.53156
90,2023-02-01 01:35:00,109.04014
95,2023-02-01 01:40:00,107.69359
100,2023-02-01 01:45:00,109.04014
105,2023-02-01 01:50:00,103.09523
110,2023-02-01 01:55:00,107.77884
115,2023-02-01 02:00:00,95.94119
120,2023-02-01 02:05:00,91.97489
125,2023-02-01 02:10:00,90.05
130,2023-02-01 02:15:00,90.95089
135,2023-02-01 02:20:00,91.03776
140,2023-02-01 02:25:00,90.17704
145,2023-02-01 02:30:00,90.0946
150,2023-02-01 02:35:00,90.27215
155,2023-02-01 02:40:00,90.33672
160,2023-02-01 02:45:00,93.1666
165,2023-02-01 02:50:00,91.88477
170,2023-02-01 02:55:00,92.10678
175,2023-02-01 03:00:00,92.22226
180,2023-02-01 03:05:00,93.12835
185,2023-02-01 03:10:00,94.01922
190,2023-02-01 03:15:00,94.10728
195,2023-02-01 03:20:00,95.00074
200,2023-02-01 03:25:00,94.09435
205,2023-02-01 03:30:00,93.22224
210,2023-02-01 03:35:00,93.27247
215,2023-02-01 03:40:00,91.44461
220,2023-02-01 03:45:00,90.52025
225,2023-02-01 03:50:00,91.35207
230,2023-02-01 03:55:00,93.17648
235,2023-02-01 04:00:00,94.75714
240,2023-02-01 04:05:00,100.02
245,2023-02-01 04:10:00,100.50949
250,2023-02-01 04:15:00,107.85011
255,2023-02-01 04:20:00,118.99
260,2023-02-01 04:25:00,118.99
265,2023-02-01 04:30:00,118.99
270,2023-02-01 04:35:00,106.22505
275,2023-02-01 04:40:00,101.72389
280,2023-02-01 04:45:00,102.39303
285,2023-02-01 04:50:00,102.48884
290,2023-02-01 04:55:00,100.02
295,2023-02-01 05:00:00,101.73887
300,2023-02-01 05:05:00,118.99
305,2023-02-01 05:10:00,139.56326
310,2023-02-01 05:15:00,134.76645
315,2023-02-01 05:20:00,118.99
320,2023-02-01 05:25:00,136.89353
325,2023-02-01 05:30:00,128.0
330,2023-02-01 05:35:00,129.0837
335,2023-02-01 05:40:00,135.14555
340,2023-02-01 05:45:00,128.63663
345,2023-02-01 05:50:00,128.0
350,2023-02-01 05:55:00,120.06024
355,2023-02-01 06:00:00,128.00005
360,2023-02-01 06:05:00,134.76485
365,2023-02-01 06:10:00,133.20428
370,2023-02-01 06:15:00,128.00014
375,2023-02-01 06:20:00,130.51384
380,2023-02-01 06:25:00,109.04004
385,2023-02-01 06:30:00,99.72756
390,2023-02-01 06:35:00,100.02
395,2023-02-01 06:40:00,102.21858
400,2023-02-01 06:45:00,100.02
405,2023-02-01 06:50:00,104.34386
410,2023-02-01 06:55:00,103.66855
415,2023-02-01 07:00:00,100.02
420,2023-02-01 07:05:00,100.02
425,2023-02-01 07:10:00,109.04008
430,2023-02-01 07:15:00,109.0
435,2023-02-01 07:20:00,109.04014
440,2023-02-01 07:25:00,104.85956
445,2023-02-01 07:30:00,85.82388
450,2023-02-01 07:35:00,100.02
455,2023-02-01 07:40:00,109.04014
460,2023-02-01 07:45:00,103.86789
465,2023-02-01 07:50:00,100.02
470,2023-02-01 07:55:00,100.02
475,2023-02-01 08:00:00,96.86885
480,2023-02-01 08:05:00,100.02
485,2023-02-01 08:10:00,104.4225
490,2023-02-01 08:15:00,94.39214
495,2023-02-01 08:20:00,100.02
500,2023-02-01 08:25:00,89.0
505,2023-02-01 08:30:00,89.0
510,2023-02-01 08:35:00,89.0
515,2023-02-01 08:40:00,90.06007
520,2023-02-01 08:45:00,90.05979
525,2023-02-01 08:50:00,90.06021
530,2023-02-01 08:55:00,67.34476
535,2023-02-01 09:00:00,90.06021
540,2023-02-01 09:05:00,100.02
545,2023-02-01 09:10:00,100.02
550,2023-02-01 09:15:00,334.92925
555,2023-02-01 09:20:00,119.99
560,2023-02-01 09:25:00,109.0
565,2023-02-01 09:30:00,94.78293
570,2023-02-01 09:35:00,70.71002
575,2023-02-01 09:40:00,100.07
580,2023-02-01 09:45:00,128.15041
