,time,energy_price,fcas_raise_price,fcas_lower_price
0,2024-01-01 04:15,45.87445,0,0
5,2024-01-01 04:20,45.87445,0,0
10,2024-01-01 04:25,45.87445,0,0
15,2024-01-01 04:30,45.87445,0,0
20,2024-01-01 04:35,45.87445,0,0
25,2024-01-01 04:40,45.87445,0,0
30,2024-01-01 04:45,39.06491,0,0
35,2024-01-01 04:50,39.06491,0,0
40,2024-01-01 04:55,39.06491,0,0
45,2024-01-01 05:00,39.06491,0,0
50,2024-01-01 05:05,39.06491,0,0
55,2024-01-01 05:10,39.06491,0,0
60,2024-01-01 05:15,39.76402,0,0
65,2024-01-01 05:20,39.76402,0,0
70,2024-01-01 05:25,39.76402,0,0
75,2024-01-01 05:30,39.76402,0,0
80,2024-01-01 05:35,39.76402,0,0
85,2024-01-01 05:40,39.76402,0,0
90,2024-01-01 05:45,35.88,0,0
95,2024-01-01 05:50,35.88,0,0
100,2024-01-01 05:55,35.88,0,0
105,2024-01-01 06:00,35.88,0,0
110,2024-01-01 06:05,35.88,0,0
115,2024-01-01 06:10,35.88,0,0
120,2024-01-01 06:15,20.89334,0,0
125,2024-01-01 06:20,20.89334,0,0
130,2024-01-01 06:25,20.89334,0,0
135,2024-01-01 06:30,20.89334,0,0
140,2024-01-01 06:35,20.89334,0,0
145,2024-01-01 06:40,20.89334,0,0
150,2024-01-01 06:45,32.70628,0,0
155,2024-01-01 06:50,32.70628,0,0
160,2024-01-01 06:55,32.70628,0,0
165,2024-01-01 07:00,32.70628,0,0
170,2024-01-01 07:05,32.70628,0,0
175,2024-01-01 07:10,32.70628,0,0
180,2024-01-01 07:15,54.95005,0,0
185,2024-01-01 07:20,54.95005,0,0
190,2024-01-01 07:25,54.95005,0,0
195,2024-01-01 07:30,54.95005,0,0
200,2024-01-01 07:35,54.95005,0,0
205,2024-01-01 07:40,54.95005,0,0
210,2024-01-01 07:45,18.54013,0,0
215,2024-01-01 07:50,18.54013,0,0
220,2024-01-01 07:55,18.54013,0,0
225,2024-01-01 08:00,18.54013,0,0
230,2024-01-01 08:05,18.54013,0,0
235,2024-01-01 08:10,18.54013,0,0
240,2024-01-01 08:15,36.06,0,0
245,2024-01-01 08:20,36.06,0,0
250,2024-01-01 08:25,36.06,0,0
255,2024-01-01 08:30,36.06,0,0
260,2024-01-01 08:35,36.06,0,0
265,2024-01-01 08:40,36.06,0,0
270,2024-01-01 08:45,52.70199,0,0
275,2024-01-01 08:50,52.70199,0,0
280,2024-01-01 08:55,52.70199,0,0
285,2024-01-01 09:00,52.70199,0,0
290,2024-01-01 09:05,52.70199,0,0
295,2024-01-01 09:10,52.70199,0,0
300,2024-01-01 09:15,57.95,0,0
305,2024-01-01 09:20,57.95,0,0
310,2024-01-01 09:25,57.95,0,0
315,2024-01-01 09:30,57.95,0,0
320,2024-01-01 09:35,57.95,0,0
325,2024-01-01 09:40,57.95,0,0
330,2024-01-01 09:45,53.92959,0,0
335,2024-01-01 09:50,53.92959,0,0
340,2024-01-01 09:55,53.92959,0,0
345,2024-01-01 10:00,53.92959,0,0
350,2024-01-01 10:05,53.92959,0,0
355,2024-01-01 10:10,53.92959,0,0
360,2024-01-01 10:15,54.95014,0,0
365,2024-01-01 10:20,54.95014,0,0
370,2024-01-01 10:25,54.95014,0,0
375,2024-01-01 10:30,54.95014,0,0
380,2024-01-01 10:35,54.95014,0,0
385,2024-01-01 10:40,54.95014,0,0
390,2024-01-01 10:45,54.5576,0,0
395,2024-01-01 10:50,54.5576,0,0
400,2024-01-01 10:55,54.5576,0,0
405,2024-01-01 11:00,54.5576,0,0
410,2024-01-01 11:05,54.5576,0,0
415,2024-01-01 11:10,54.5576,0,0
